UWI,EW Offset,NS Offset,Measured Depth,TVD
100010701318w400,-0.00,-0.00,0.00,0.00
100010701318w400,-0.00,-0.00,30.00,30.00
100010701318w400,-0.00,-0.00,60.00,60.00
100010701318w400,-0.00,-0.00,90.00,90.00
100010701318w400,-0.00,-0.00,120.00,120.00
100010701318w400,-0.00,-0.00,150.00,150.00
100010701318w400,-0.00,-0.00,180.00,180.00
100010701318w400,-0.00,-0.00,210.00,210.00
100010701318w400,-0.00,-0.00,240.00,240.00
100010701318w400,-0.00,-0.00,264.00,264.00
100010701318w400,-0.00,-0.00,270.00,270.00
100010701318w400,-0.00,-0.00,300.00,300.00
100010701318w400,-0.00,-0.00,313.20,313.20
100010701318w400,-0.00,-0.00,330.00,330.00
100010701318w400,-0.00,-0.00,360.00,360.00
100010701318w400,-0.00,-0.00,390.00,390.00
100010701318w400,-0.00,-0.00,420.00,420.00
100010701318w400,-0.00,-0.00,430.30,430.30
100010701318w400,-0.00,-0.00,450.00,450.00
100010701318w400,-0.00,-0.00,478.90,478.90
100010701318w400,-0.00,-0.00,480.00,480.00
100010701318w400,-0.00,-0.00,510.00,510.00
100010701318w400,-0.00,-0.00,540.00,540.00
100010701318w400,-0.00,-0.00,570.00,570.00
100010701318w400,-0.00,-0.00,599.00,599.00
100010701318w400,0.00,0.00,600.00,600.00
100010701318w400,0.94,0.57,630.00,629.97
100010701318w400,3.63,2.20,660.00,659.80
100010701318w400,8.05,4.89,690.00,689.35
100010701318w400,13.87,8.43,718.58,717.10
100010701318w400,14.19,8.63,720.00,718.47
100010701318w400,22.03,13.39,750.00,747.02
100010701318w400,31.52,19.16,780.00,774.89
100010701318w400,38.14,23.18,798.43,791.60
100010701318w400,42.61,25.90,810.00,801.92
100010701318w400,49.04,29.81,825.70,815.70
100010701318w400,55.26,33.59,840.00,828.01
100010701318w400,69.41,42.19,870.00,853.02
100010701318w400,78.94,47.98,888.68,867.99
100010701318w400,85.00,51.61,900.00,876.84
100010701318w400,102.17,61.39,930.00,899.40
100010701318w400,120.87,71.35,960.00,920.63
100010701318w400,121.90,71.88,961.58,921.70
100010701318w400,139.83,80.87,988.28,939.31
100010701318w400,141.03,81.45,990.00,940.40
100010701318w400,148.69,85.15,1000.90,947.21
100010701318w400,162.54,91.65,1020.00,958.63
100010701318w400,171.01,95.52,1031.34,965.10
100010701318w400,185.32,101.89,1050.00,975.24
100010701318w400,189.48,103.71,1055.32,978.00
100010701318w400,209.24,112.13,1080.00,990.14
100010701318w400,217.44,115.53,1089.98,994.70
100010701318w400,234.20,122.33,1110.00,1003.27
100010701318w400,260.08,132.42,1140.00,1014.56
100010701318w400,286.76,142.37,1170.00,1023.96
100010701318w400,307.84,149.92,1193.17,1029.90
100010701318w400,314.12,152.12,1200.00,1031.43
100010701318w400,342.02,161.64,1230.00,1036.94
100010701318w400,370.33,170.88,1260.00,1040.45
100010701318w400,398.92,179.78,1290.00,1041.95
100010701318w400,405.90,181.89,1297.29,1042.01
100010701318w400,427.64,188.43,1320.00,1042.01
100010701318w400,456.36,197.07,1350.00,1042.01
100010701318w400,485.08,205.71,1380.00,1042.01
100010701318w400,513.80,214.35,1410.00,1042.01
100010701318w400,542.52,222.99,1440.00,1042.01
100010701318w400,571.24,231.63,1470.00,1042.01
100010701318w400,599.96,240.27,1500.00,1042.01
100010701318w400,618.43,245.82,1519.29,1042.01
100010701318w400,628.66,249.00,1530.00,1042.01
100010701318w400,656.96,258.92,1560.00,1042.01
100010701318w400,684.70,270.30,1590.00,1042.01
100010701318w400,711.81,283.13,1620.00,1042.01
100010701318w400,738.21,297.35,1650.00,1042.01
100010701318w400,763.83,312.93,1680.00,1042.01
100010701318w400,788.60,329.84,1710.00,1042.01
100010701318w400,812.45,348.02,1740.00,1042.01
100010701318w400,835.32,367.42,1770.00,1042.01
100010701318w400,852.09,383.03,1792.92,1042.01
100010701318w400,857.17,387.96,1800.00,1042.01
100010701318w400,878.71,408.83,1830.00,1042.01
100010701318w400,900.25,429.70,1860.00,1042.01
100010701318w400,921.79,450.57,1890.00,1042.01
100010701318w400,943.32,471.44,1920.00,1042.01
100010701318w400,964.86,492.32,1950.00,1042.01
100010701318w400,986.40,513.19,1980.00,1042.01
100010701318w400,1007.94,534.06,2010.00,1042.01
100010701318w400,1029.47,554.93,2040.00,1042.01
100010701318w400,1051.01,575.81,2070.00,1042.01
100010701318w400,1072.55,596.68,2100.00,1042.01
100010701318w400,1094.09,617.55,2130.00,1042.01
100010701318w400,1115.62,638.42,2160.00,1042.01
100010701318w400,1137.16,659.30,2190.00,1042.01
100010701318w400,1158.70,680.17,2220.00,1042.01
100010701318w400,1180.24,701.04,2250.00,1042.01
100010701318w400,1201.77,721.91,2280.00,1042.01
100010701318w400,1223.31,742.79,2310.00,1042.01
100010701318w400,1244.85,763.66,2340.00,1042.01
100010701318w400,1266.39,784.53,2370.00,1042.01
100010701318w400,1287.92,805.40,2400.00,1042.01
100010701318w400,1309.46,826.27,2430.00,1042.01
100010701318w400,1331.00,847.15,2460.00,1042.01
100010701318w400,1352.54,868.02,2490.00,1042.01
100010701318w400,1374.07,888.89,2520.00,1042.01
100010701318w400,1395.61,909.76,2550.00,1042.01
100010701318w400,1417.15,930.64,2580.00,1042.01
100010701318w400,1438.69,951.51,2610.00,1042.01
100010701318w400,1460.22,972.38,2640.00,1042.01
100010701318w400,1481.76,993.25,2670.00,1042.01
100010701318w400,1503.30,1014.13,2700.00,1042.01
100010701318w400,1524.84,1035.00,2730.00,1042.01
100010701318w400,1546.37,1055.87,2760.00,1042.01
100010701318w400,1567.91,1076.74,2790.00,1042.01
100010701318w400,1589.45,1097.61,2820.00,1042.01
100010701318w400,1610.99,1118.49,2850.00,1042.01
100010701318w400,1632.52,1139.36,2880.00,1042.01
100010701318w400,1654.06,1160.23,2910.00,1042.01
100010701318w400,1675.60,1181.10,2940.00,1042.01
100010701318w400,1697.14,1201.98,2970.00,1042.01
100010701318w400,1718.67,1222.85,3000.00,1042.01
100010701318w400,1740.21,1243.72,3030.00,1042.01
100010701318w400,1761.75,1264.59,3060.00,1042.01
100010701318w400,1783.29,1285.46,3090.00,1042.01
100010701318w400,1804.82,1306.34,3120.00,1042.01
100010701318w400,1826.36,1327.21,3150.00,1042.01
100010701318w400,1847.90,1348.08,3180.00,1042.01
100010701318w400,1869.44,1368.95,3210.00,1042.01
100010701318w400,1890.98,1389.83,3240.00,1042.01
100010701318w400,1912.51,1410.70,3270.00,1042.01
100010701318w400,1934.05,1431.57,3300.00,1042.01
100010701318w400,1955.59,1452.44,3330.00,1042.01
100010701318w400,1977.13,1473.32,3360.00,1042.01
100010701318w400,1998.66,1494.19,3390.00,1042.01
100010701318w400,2020.20,1515.06,3420.00,1042.01
100010701318w400,2041.74,1535.93,3450.00,1042.01
100010701318w400,2063.28,1556.80,3480.00,1042.01
100010701318w400,2084.81,1577.68,3510.00,1042.01
100010701318w400,2106.35,1598.55,3540.00,1042.01
100010701318w400,2127.89,1619.42,3570.00,1042.01
100010701318w400,2149.43,1640.29,3600.00,1042.01
100010701318w400,2170.96,1661.17,3630.00,1042.01
100010701318w400,2192.50,1682.04,3660.00,1042.01
100010701318w400,2214.04,1702.91,3690.00,1042.01
100010701318w400,2235.58,1723.78,3720.00,1042.01
100010701318w400,2257.11,1744.65,3750.00,1042.01
100010701318w400,2278.65,1765.53,3780.00,1042.01
100010701318w400,2300.19,1786.40,3810.00,1042.01
100010701318w400,2306.21,1792.24,3818.39,1042.01
